t_index	term	df
1012	bedsheet	1
1013	beef	6
1014	beer	2
1015	befit	1
1016	befriend	1
1017	befuddl	1
1018	beggar	1
1019	begin	151
1020	begun	31
1021	behalf	8
1022	behan	1
1023	behari	3
1024	behav	9
1025	behavior	10
1026	behindthescen	2
1027	beholden	3
1028	beij	3
1029	beirut	9
1030	bekki	3
1031	belaru	1
1032	belch	1
1033	beleagu	3
1034	belgian	5
1035	belgium	6
1036	belgrad	100
1037	beli	1
1038	belida	3
1039	belief	17
1040	believ	292
1041	belittl	1
1042	bell	4
1043	belliger	1
1044	belong	31
1045	belov	5
1046	below	38
1047	belt	8
1048	bema	2
1049	bemoan	1
1050	ben	5
1051	bench	4
1052	benchmark	1
1053	bend	2
1054	beneath	31
1055	benefactor	2
1056	benefici	1
1057	beneficiari	1
1058	benefit	17
1059	benevol	7
1060	benign	1
1061	benin	8
1062	benito	1
1063	benjamin	2
1064	bennett	1
1065	benni	1
1066	bent	13
1067	benton	1
1068	bequeath	1
1069	berat	1
1070	bere	1
1071	beresich	1
1072	beretta	1
1073	bergen	1
1074	berger	25
1075	berlin	8
1076	bernstein	2
1077	bershard	1
1078	bershevski	1
1079	berth	2
1080	beschloss	1
1081	beset	2
1082	besid	27
1083	besieg	4
1084	bespectacl	2
1085	bestequip	1
1086	bestkept	1
1087	bestknown	6
1088	beta	7
1089	betajon	1
1090	beth	1
1091	betray	4
1092	betrisia	1
1093	bettertrain	1
1094	bevan	1
1095	beveneari	1
1096	bewild	1
1097	beyond	37
1098	bhaba	2
1099	bhachau	4
1100	bhagat	1
1101	bhakta	1
1102	bharatiya	3
1103	bharpi	3
1104	bhaskar	5
1105	bhat	1
1106	bhatt	1
1107	bhavesh	1
1108	bhowmik	1
1109	bhug	1
1110	bhuj	33
1111	bia	1
1112	biafran	2
1113	biarritz	3
1114	bias	8
1115	bibl	4
1116	bibleread	1
1117	biblic	1
1118	bicker	3
1119	bicycl	5
1120	bid	50
1121	bidanora	1
1122	bigciti	1
1123	bigger	8
1124	biggest	39
1125	bigot	1
1126	bigticket	1
1127	bihari	10
1128	bilater	8
1129	bilingu	1
1130	bill	68
1131	billboard	2
1132	billet	1
1133	billi	4
1134	billion	54
1135	billionair	9
1136	billiondollar	5
1137	billow	13
1138	biltera	1
1139	bimal	2
1140	bin	87
1141	bind	5
1142	bindra	3
1143	bingaman	2
1144	bingo	1
1145	binladen	1
1146	binocular	5
1147	biogeneticist	1
1148	biograph	3
1149	biographi	4
1150	biolog	4
1151	bion	1
1152	bipartisan	2
1153	bipartisanship	1
1154	bird	3
1155	birger	1
